shortlist_rank,candidate_id,campaign_id,backbone_id,source_structure_id,designed_chains,preserved_metal_identity,redesigned_residues,generated_sequence_count,unique_sequence_count,unique_sequence_fraction,sequence_length,mean_overall_confidence,min_overall_confidence,max_overall_confidence,mean_ligand_confidence,min_ligand_confidence,max_ligand_confidence,mean_pairwise_identity,min_pairwise_identity,max_pairwise_identity,temperature,seed,output_fasta_path
1,hans_interface_ss_plus_if_u01,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A44,A55,A82,A100,A110,A115",2,2,1.0,435,0.40725,0.4024,0.4121,0.3595,0.3569,0.3621,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.1,37,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u01/seqs/hans_interface_ss_plus_if_u01.fa
2,hans_interface_ss_plus_if_u02,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A39,A44,A82,A100,A110,A115",2,2,1.0,435,0.43025,0.4195,0.441,0.38025,0.3726,0.3879,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.1,37,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u02/seqs/hans_interface_ss_plus_if_u02.fa
3,am1_mex_ss_only_u01,am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,A,ND,"A38,A83,A87,A111,A118",2,1,0.5,105,0.3118,0.3052,0.3184,0.28925,0.2806,0.2979,1.0,1.0,1.0,0.1,37,results/ligandmpnn_smoke/am1_mex_ss_only_u01/seqs/am1_mex_ss_only_u01.fa
4,hans_interface_if_only_u01,hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A44,A100",2,2,1.0,435,0.27949999999999997,0.267,0.292,0.2274,0.2165,0.2383,0.9954022988505747,0.9954022988505747,0.9954022988505747,0.1,37,results/ligandmpnn_smoke/hans_interface_if_only_u01/seqs/hans_interface_if_only_u01.fa
5,hans_pocket_ss_only_u01,hans_pocket_ss_only,hans_pocket_8fnr_chain_a,8FNR,A,DY,"A35,A82,A100,A110,A115",2,1,0.5,110,0.423,0.422,0.424,0.42269999999999996,0.421,0.4244,1.0,1.0,1.0,0.1,37,results/ligandmpnn_smoke/hans_pocket_ss_only_u01/seqs/hans_pocket_ss_only_u01.fa
6,hans_interface_ss_plus_if_u03,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A44,A82,A100,A110,A115",2,1,0.5,435,0.41690000000000005,0.4136,0.4202,0.348,0.3462,0.3498,1.0,1.0,1.0,0.1,37,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u03/seqs/hans_interface_ss_plus_if_u03.fa
7,am1_mex_ss_only_u02,am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,A,ND,"A38,A83,A87,A118",2,2,1.0,105,0.33499999999999996,0.3336,0.3364,0.32505,0.3194,0.3307,0.9904761904761905,0.9904761904761905,0.9904761904761905,0.1,37,results/ligandmpnn_smoke/am1_mex_ss_only_u02/seqs/am1_mex_ss_only_u02.fa
8,hans_interface_if_only_u02,hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A44,A55,A100",2,2,1.0,435,0.29425,0.2902,0.2983,0.23404999999999998,0.2304,0.2377,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.1,37,results/ligandmpnn_smoke/hans_interface_if_only_u02/seqs/hans_interface_if_only_u02.fa
9,hans_pocket_ss_only_u02,hans_pocket_ss_only,hans_pocket_8fnr_chain_a,8FNR,A,DY,"A35,A39,A82,A100,A110,A115",2,1,0.5,110,0.42085,0.4156,0.4261,0.41985,0.4146,0.4251,1.0,1.0,1.0,0.1,37,results/ligandmpnn_smoke/hans_pocket_ss_only_u02/seqs/hans_pocket_ss_only_u02.fa
10,hans_interface_ss_plus_if_u04,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A44,A55,A82,A110,A115",2,2,1.0,435,0.41975,0.4156,0.4239,0.3787,0.3721,0.3853,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.1,37,results/ligandmpnn_smoke/hans_interface_ss_plus_if_u04/seqs/hans_interface_ss_plus_if_u04.fa
11,am1_mex_ss_only_u03,am1_mex_ss_only,am1_mex_8fns_chain_a,8FNS,A,ND,"A38,A83,A87,A111,A115,A118",2,1,0.5,105,0.34885,0.343,0.3547,0.34495,0.3373,0.3526,1.0,1.0,1.0,0.1,37,results/ligandmpnn_smoke/am1_mex_ss_only_u03/seqs/am1_mex_ss_only_u03.fa
12,hans_interface_if_only_u03,hans_interface_if_only,hans_interface_8fnr_a_b_c_d,8FNR,A,DY,"A35,A44,A55,A100",2,2,1.0,435,0.29425,0.2902,0.2983,0.23404999999999998,0.2304,0.2377,0.9977011494252873,0.9977011494252873,0.9977011494252873,0.1,37,results/ligandmpnn_smoke/hans_interface_if_only_u03/seqs/hans_interface_if_only_u03.fa
