rosetta_score_rank_within_topology,topology_candidate_count,topology_best_total_score,total_score_delta_from_topology_best,cross_topology_total_score_comparison_valid,cross_topology_comparison_note,shortlist_rank,shortlist_sequence_id,candidate_id,seed_rank,seed_candidate_id,campaign_id,backbone_id,topology_class,preserved_metal_identity,shortlist_design_id,shortlist_retention_reason,representative_design_id,representative_sequence_id,representative_ligand_confidence,representative_overall_confidence,representative_packed_pdb,scorefile_path,total_score,score_description,score,dslf_fa13,fa_atr,fa_dun,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,linear_chainbreak,lk_ball_wtd,metalbinding_constraint,omega,overlap_chainbreak,p_aa_pp,pro_close,rama_prepro,ref,time,yhh_planarity
1,1,218.234,0.0,False,"Raw Rosetta total_score is not a valid cross-topology comparator; Phase 7F ranks candidates only within am1_monomer, hans_monomer, and hans_interface_multichain topology classes.",4,am1_mex_ss_only_u02_r2u02_design_01,am1_mex_ss_only_u02_r2u02,1,am1_mex_ss_only_u02,am1_mex_ss_only,am1_mex_8fns_chain_a,am1_monomer,ND,1,top AM1/Mex round-2 candidate,1,am1_mex_ss_only_u02_r2u02_design_01,0.2213,0.3023,results/ligandmpnn_round2_smoke/am1_mex_ss_only_u02_r2u02/packed/am1_mex_ss_only_u02_r2u02_packed_1_1.pdb,results/rosetta_round2_score_smoke/am1_mex_ss_only_u02_r2u02/score.sc,218.234,am1_mex_ss_only_u02_r2u02_packed_1_1_0001,218.234,0.0,-561.373,158.669,0.958,26.805,199.971,480.314,-23.84,-5.859,-2.749,-43.357,0.0,-9.327,0.0,19.849,0.0,-22.892,24.066,-25.932,2.93,0.0,0.0
1,1,144.07,0.0,False,"Raw Rosetta total_score is not a valid cross-topology comparator; Phase 7F ranks candidates only within am1_monomer, hans_monomer, and hans_interface_multichain topology classes.",1,hans_pocket_ss_only_u02_r2u01_design_01,hans_pocket_ss_only_u02_r2u01,2,hans_pocket_ss_only_u02,hans_pocket_ss_only,hans_pocket_8fnr_chain_a,hans_monomer,DY,1,top Hans pocket round-2 candidate,1,hans_pocket_ss_only_u02_r2u01_design_01,1.0,0.3399,results/ligandmpnn_round2_smoke/hans_pocket_ss_only_u02_r2u01/packed/hans_pocket_ss_only_u02_r2u01_packed_1_1.pdb,results/rosetta_round2_score_smoke/hans_pocket_ss_only_u02_r2u01/score.sc,144.07,hans_pocket_ss_only_u02_r2u01_packed_1_1_0001,144.07,0.0,-602.53,179.495,1.082,27.294,113.957,493.07,-22.562,-5.542,-4.511,-46.138,0.0,-9.731,0.0,30.03,0.0,-16.802,3.463,-13.142,16.638,0.0,0.0
1,2,530.712,0.0,False,"Raw Rosetta total_score is not a valid cross-topology comparator; Phase 7F ranks candidates only within am1_monomer, hans_monomer, and hans_interface_multichain topology classes.",2,hans_interface_ss_plus_if_u04_r2u01_design_02,hans_interface_ss_plus_if_u04_r2u01,3,hans_interface_ss_plus_if_u04,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,DY,2,top Hans interface-aware round-2 candidate,2,hans_interface_ss_plus_if_u04_r2u01_design_02,0.3454,0.3303,results/ligandmpnn_round2_smoke/hans_interface_ss_plus_if_u04_r2u01/packed/hans_interface_ss_plus_if_u04_r2u01_packed_2_1.pdb,results/rosetta_round2_score_smoke/hans_interface_ss_plus_if_u04_r2u01/score.sc,530.712,hans_interface_ss_plus_if_u04_r2u01_packed_2_1_0001,530.712,0.0,-2477.627,788.783,4.388,105.831,430.315,1978.822,-95.171,-24.559,-33.333,-180.299,0.0,-42.594,0.0,99.797,0.0,-61.587,13.382,-52.269,76.833,0.0,0.0
2,2,530.712,7.3659999999999854,False,"Raw Rosetta total_score is not a valid cross-topology comparator; Phase 7F ranks candidates only within am1_monomer, hans_monomer, and hans_interface_multichain topology classes.",3,hans_interface_ss_plus_if_u04_r2u02_design_01,hans_interface_ss_plus_if_u04_r2u02,3,hans_interface_ss_plus_if_u04,hans_interface_ss_plus_if,hans_interface_8fnr_a_b_c_d,hans_interface_multichain,DY,1,best remaining unique candidate,1,hans_interface_ss_plus_if_u04_r2u02_design_01,0.33,0.3361,results/ligandmpnn_round2_smoke/hans_interface_ss_plus_if_u04_r2u02/packed/hans_interface_ss_plus_if_u04_r2u02_packed_1_1.pdb,results/rosetta_round2_score_smoke/hans_interface_ss_plus_if_u04_r2u02/score.sc,538.078,hans_interface_ss_plus_if_u04_r2u02_packed_1_1_0001,538.078,0.0,-2474.382,787.732,4.382,105.633,435.702,1976.058,-95.171,-24.559,-29.46,-180.301,0.0,-43.175,0.0,99.798,0.0,-61.496,13.382,-52.279,76.213,0.0,0.0
